PNO113_STO_Intensity,PNO113_STO_2Theta,PNO112_STO_Intensity,PNO112_STO_2Theta,PNO113_LSAT_Intensity,PNO113_LSAT_2Theta,PNO112_LSAT_Intensity,PNO112_LSAT_2Theta
4.16667,25.64,16.6667,25.64,20.8333,25.64,24.1667,25.64
12.5,25.66,18.3333,25.66,16.6667,25.66,20.8333,25.66
4.16667,25.68,15,25.68,8.33333,25.68,27.5,25.68
8.33333,25.7,13.3333,25.7,8.33333,25.7,23.3333,25.7
8.33333,25.72,18.3333,25.72,4.16667,25.72,23.3333,25.72
12.5,25.74,13.3333,25.74,4.16667,25.74,18.3333,25.74
8.33333,25.76,11.6667,25.76,4.16667,25.76,21.6667,25.76
1,25.78,18.3333,25.78,1,25.78,20.8333,25.78
4.16667,25.8,31.6667,25.8,12.5,25.8,22.5,25.8
4.16667,25.82,15,25.82,4.16667,25.82,28.3333,25.82
8.33333,25.84,30,25.84,4.16667,25.84,25,25.84
8.33333,25.86,26.6667,25.86,4.16667,25.86,24.1667,25.86
8.33333,25.88,28.3333,25.88,4.16667,25.88,34.1667,25.88
8.33333,25.9,20,25.9,4.16667,25.9,32.5,25.9
12.5,25.92,45,25.92,8.33333,25.92,27.5,25.92
4.16667,25.94,41.6667,25.94,12.5,25.94,25,25.94
8.33333,25.96,45,25.96,1,25.96,29.1667,25.96
4.16667,25.98,35,25.98,1,25.98,35,25.98
4.16667,26,38.3333,26,1,26,31.6667,26
4.16667,26.02,38.3333,26.02,1,26.02,25.8333,26.02
4.16667,26.04,43.3333,26.04,1,26.04,27.5,26.04
1,26.06,50,26.06,1,26.06,39.1667,26.06
4.16667,26.08,43.3333,26.08,1,26.08,29.1667,26.08
1,26.1,45,26.1,4.16667,26.1,31.6667,26.1
4.16667,26.12,38.3333,26.12,4.16667,26.12,35.8333,26.12
4.16667,26.14,55,26.14,1,26.14,35.8333,26.14
1,26.16,58.3333,26.16,4.16667,26.16,25,26.16
4.16667,26.18,35,26.18,4.16667,26.18,31.6667,26.18
1,26.2,61.6667,26.2,1,26.2,31.6667,26.2
1,26.22,48.3333,26.22,4.16667,26.22,26.6667,26.22
4.16667,26.24,66.6667,26.24,1,26.24,37.5,26.24
1,26.26,61.6667,26.26,1,26.26,34.1667,26.26
1,26.28,61.6667,26.28,1,26.28,35,26.28
1,26.3,48.3333,26.3,1,26.3,32.5,26.3
4.16667,26.32,88.3333,26.32,4.16667,26.32,32.5,26.32
1,26.34,75,26.34,8.33333,26.34,32.5,26.34
1,26.36,56.6667,26.36,4.16667,26.36,27.5,26.36
1,26.38,71.6667,26.38,8.33333,26.38,35,26.38
1,26.4,70,26.4,1,26.4,30,26.4
1,26.42,78.3333,26.42,1,26.42,26.6667,26.42
1,26.44,73.3333,26.44,12.5,26.44,29.1667,26.44
4.16667,26.46,61.6667,26.46,1,26.46,29.1667,26.46
4.16667,26.48,56.6667,26.48,1,26.48,29.1667,26.48
1,26.5,60,26.5,4.16667,26.5,23.3333,26.5
1,26.52,75,26.52,8.33333,26.52,25,26.52
4.16667,26.54,73.3333,26.54,4.16667,26.54,27.5,26.54
1,26.56,73.3333,26.56,1,26.56,26.6667,26.56
1,26.58,56.6667,26.58,1,26.58,23.3333,26.58
1,26.6,81.6667,26.6,4.16667,26.6,19.1667,26.6
1,26.62,78.3333,26.62,8.33333,26.62,18.3333,26.62
4.16667,26.64,80,26.64,4.16667,26.64,20,26.64
4.16667,26.66,66.6667,26.66,8.33333,26.66,30,26.66
4.16667,26.68,50,26.68,1,26.68,17.5,26.68
4.16667,26.7,66.6667,26.7,1,26.7,20.8333,26.7
1,26.72,73.3333,26.72,8.33333,26.72,24.1667,26.72
4.16667,26.74,51.6667,26.74,1,26.74,19.1667,26.74
8.33333,26.76,70,26.76,4.16667,26.76,16.6667,26.76
1,26.78,68.3333,26.78,1,26.78,16.6667,26.78
4.16667,26.8,53.3333,26.8,8.33333,26.8,15.8333,26.8
4.16667,26.82,65,26.82,1,26.82,19.1667,26.82
4.16667,26.84,71.6667,26.84,1,26.84,18.3333,26.84
8.33333,26.86,73.3333,26.86,4.16667,26.86,25,26.86
4.16667,26.88,70,26.88,4.16667,26.88,10.8333,26.88
1,26.9,73.3333,26.9,8.33333,26.9,10.8333,26.9
8.33333,26.92,56.6667,26.92,1,26.92,20.8333,26.92
4.16667,26.94,68.3333,26.94,4.16667,26.94,10,26.94
1,26.96,58.3333,26.96,1,26.96,19.1667,26.96
1,26.98,55,26.98,20.8333,26.98,15,26.98
1,27,43.3333,27,1,27,20,27
1,27.02,45,27.02,4.16667,27.02,11.6667,27.02
1,27.04,50,27.04,4.16667,27.04,10,27.04
12.5,27.06,51.6667,27.06,1,27.06,14.1667,27.06
1,27.08,51.6667,27.08,1,27.08,5.83333,27.08
1,27.1,45,27.1,4.16667,27.1,11.6667,27.1
1,27.12,45,27.12,4.16667,27.12,16.6667,27.12
1,27.14,48.3333,27.14,1,27.14,5.83333,27.14
1,27.16,41.6667,27.16,1,27.16,7.5,27.16
4.16667,27.18,36.6667,27.18,4.16667,27.18,10,27.18
4.16667,27.2,33.3333,27.2,1,27.2,5,27.2
4.16667,27.22,38.3333,27.22,1,27.22,5.83333,27.22
1,27.24,25,27.24,1,27.24,5.83333,27.24
8.33333,27.26,36.6667,27.26,1,27.26,6.66667,27.26
1,27.28,23.3333,27.28,1,27.28,10,27.28
1,27.3,50,27.3,1,27.3,8.33333,27.3
1,27.32,40,27.32,1,27.32,10.8333,27.32
4.16667,27.34,28.3333,27.34,4.16667,27.34,3.33333,27.34
1,27.36,35,27.36,1,27.36,6.66667,27.36
4.16667,27.38,16.6667,27.38,4.16667,27.38,2.5,27.38
1,27.4,18.3333,27.4,4.16667,27.4,5.83333,27.4
1,27.42,16.6667,27.42,1,27.42,4.16667,27.42
4.16667,27.44,21.6667,27.44,4.16667,27.44,5,27.44
8.33333,27.46,13.3333,27.46,4.16667,27.46,5,27.46
4.16667,27.48,25,27.48,1,27.48,9.16667,27.48
1,27.5,23.3333,27.5,1,27.5,1.66667,27.5
1,27.52,21.6667,27.52,4.16667,27.52,7.5,27.52
1,27.54,18.3333,27.54,8.33333,27.54,2.5,27.54
1,27.56,16.6667,27.56,1,27.56,3.33333,27.56
1,27.58,13.3333,27.58,1,27.58,5,27.58
1,27.6,23.3333,27.6,4.16667,27.6,5,27.6
1,27.62,5,27.62,1,27.62,1.66667,27.62
1,27.64,11.6667,27.64,4.16667,27.64,6.66667,27.64
1,27.66,15,27.66,8.33333,27.66,5,27.66
4.16667,27.68,18.3333,27.68,4.16667,27.68,2.5,27.68
1,27.7,5,27.7,8.33333,27.7,4.16667,27.7
1,27.72,16.6667,27.72,4.16667,27.72,5,27.72
1,27.74,10,27.74,8.33333,27.74,5,27.74
1,27.76,13.3333,27.76,4.16667,27.76,5,27.76
1,27.78,6.66667,27.78,4.16667,27.78,5,27.78
1,27.8,5,27.8,8.33333,27.8,2.5,27.8
1,27.82,1.66667,27.82,1,27.82,4.16667,27.82
1,27.84,13.3333,27.84,4.16667,27.84,4.16667,27.84
1,27.86,6.66667,27.86,8.33333,27.86,3.33333,27.86
1,27.88,5,27.88,1,27.88,4.16667,27.88
1,27.9,6.66667,27.9,1,27.9,3.33333,27.9
1,27.92,5,27.92,8.33333,27.92,2.5,27.92
1,27.94,6.66667,27.94,1,27.94,5,27.94
4.16667,27.96,5,27.96,4.16667,27.96,2.5,27.96
1,27.98,5,27.98,1,27.98,5,27.98
8.33333,28,8.33333,28,4.16667,28,5.83333,28
4.16667,28.02,8.33333,28.02,1,28.02,4.16667,28.02
1,28.04,3.33333,28.04,1,28.04,0.833333,28.04
1,28.06,5,28.06,1,28.06,3.33333,28.06
4.16667,28.08,1,28.08,4.16667,28.08,2.5,28.08
1,28.1,3.33333,28.1,4.16667,28.1,0.833333,28.1
1,28.12,3.33333,28.12,8.33333,28.12,3.33333,28.12
4.16667,28.14,1,28.14,4.16667,28.14,3.33333,28.14
1,28.16,5,28.16,1,28.16,5.83333,28.16
1,28.18,1,28.18,8.33333,28.18,5,28.18
1,28.2,1.66667,28.2,4.16667,28.2,2.5,28.2
1,28.22,3.33333,28.22,1,28.22,2.5,28.22
1,28.24,3.33333,28.24,8.33333,28.24,5.83333,28.24
1,28.26,6.66667,28.26,4.16667,28.26,4.16667,28.26
1,28.28,8.33333,28.28,4.16667,28.28,2.5,28.28
4.16667,28.3,1.66667,28.3,8.33333,28.3,2.5,28.3
4.16667,28.32,1.66667,28.32,1,28.32,3.33333,28.32
1,28.34,1,28.34,1,28.34,5,28.34
4.16667,28.36,1,28.36,1,28.36,3.33333,28.36
1,28.38,1.66667,28.38,1,28.38,4.16667,28.38
8.33333,28.4,1.66667,28.4,4.16667,28.4,8.33333,28.4
4.16667,28.42,1,28.42,4.16667,28.42,2.5,28.42
4.16667,28.44,3.33333,28.44,4.16667,28.44,2.5,28.44
4.16667,28.46,1.66667,28.46,1,28.46,5.83333,28.46
1,28.48,1.66667,28.48,4.16667,28.48,1.66667,28.48
8.33333,28.5,1,28.5,1,28.5,1.66667,28.5
1,28.52,1,28.52,4.16667,28.52,4.16667,28.52
1,28.54,3.33333,28.54,4.16667,28.54,5,28.54
4.16667,28.56,1,28.56,1,28.56,7.5,28.56
1,28.58,1,28.58,4.16667,28.58,2.5,28.58
1,28.6,3.33333,28.6,1,28.6,3.33333,28.6
