hh_13,hh_20,hh_27,hh_34,hh_41,hh_48,hh_55,hh_62,hh_69,h0_Th13,h0_Th20,h0_Th27,h0_Th34,h0_Th41,h0_Th48,h0_Th55,h0_Th62,h0_Th69,Energy_Loss
0.28161,0.241489,0.228886,0.225403,0.209337,0.237868,0.227829,0.218339,0.262075,0.313751,0.28716,0.280655,0.26368,0.2334,0.245956,0.227604,0.239606,0.251716,-54.3
0.597421,0.511329,0.479006,0.484531,0.447828,0.506281,0.47594,0.457438,0.537297,0.658217,0.641737,0.614341,0.556488,0.504507,0.500082,0.491383,0.478462,0.522568,-44.65
1.48252,1.35876,1.2123,1.25655,1.19032,1.27644,1.24112,1.21397,1.36241,1.55392,1.57012,1.46974,1.38008,1.29269,1.28153,1.26544,1.27588,1.31285,-35
3.2963,3.10619,2.85192,2.88552,2.82066,2.91468,2.93877,2.9444,3.24697,3.54159,3.4156,3.3253,3.24953,3.08699,2.96519,2.97918,3.03122,3.23448,-25.35
5.61596,5.54854,5.22049,5.15883,5.22083,5.16019,5.36714,5.45707,5.82697,6.49271,5.90382,5.98057,5.83414,5.63936,5.30176,5.40934,5.5039,6.03807,-15.7
7.31729,7.40921,7.18971,6.97603,7.14852,6.90011,7.31977,7.57332,7.95194,8.72048,7.86819,8.07816,7.83359,7.65015,7.20084,7.31426,7.52787,8.30586,-6.05
7.40532,7.52225,7.31703,7.15116,7.27829,7.0582,7.48787,7.78838,8.20615,8.75432,8.06779,8.33083,8.05726,7.85453,7.44212,7.46685,7.71353,8.50475,3.6
5.94018,5.96765,5.74574,5.67222,5.8079,5.61869,5.92517,6.06411,6.48498,7.00376,6.47826,6.58493,6.39,6.16354,5.88929,5.91445,6.08041,6.66278,13.25
3.84154,3.69998,3.46808,3.52671,3.43884,3.45565,3.5199,3.56534,3.87275,4.33092,4.07944,4.05411,3.82299,3.68769,3.59034,3.61813,3.62094,3.89517,22.9
2.10945,1.90758,1.6377,1.72575,1.59538,1.68314,1.61372,1.51795,1.73582,2.11449,2.03855,1.96233,1.81249,1.7253,1.67836,1.70645,1.62993,1.72038,32.55
