hh_Theta=13,hh_Theta=20,hh_Theta=27,hh_Theta=34,hh_Theta=41,hh_Theta=48,hh_Theta=55,hh_Theta=61,hh_Theta=70,h0_Theta=13,h0_Theta=20,h0_Theta=27,h0_Theta=34,h0_Theta=41,h0_Theta=48,h0_Theta=55,h0_Theta=62,h0_Theta=69,h0_Theta=76,EnergyLoss (meV),,
0.660803,0.523355,0.378425,0.281209,0.233737,0.203646,0.172078,0.175538,0.154395,0.563403,0.382918,0.329883,0.274994,0.224854,0.185609,0.156804,0.15001,0.124039,0.137127,79,,
0.590459,0.459408,0.353935,0.266734,0.224614,0.192251,0.162635,0.159229,0.144138,0.46314,0.329503,0.282752,0.224384,0.209264,0.1675,0.15903,0.156876,0.115049,0.132311,88.65,,
0.500931,0.399981,0.31114,0.247566,0.211085,0.166056,0.147987,0.155441,0.136433,0.364182,0.282979,0.22804,0.197735,0.175321,0.145171,0.152954,0.141449,0.104993,0.107346,98.3,,
0.443086,0.343574,0.284099,0.237583,0.213228,0.172048,0.147406,0.156552,0.125009,0.317261,0.255324,0.208391,0.182984,0.175083,0.148239,0.138405,0.126466,0.0963218,0.0996935,107.95,,
0.404091,0.336887,0.283041,0.234167,0.21133,0.179809,0.16193,0.157173,0.115979,0.318728,0.251415,0.200888,0.191553,0.177434,0.152447,0.131792,0.126443,0.0850387,0.0898714,117.6,,
0.389069,0.324875,0.278719,0.233763,0.220286,0.177026,0.161869,0.150765,0.105977,0.301621,0.26069,0.208709,0.207967,0.174027,0.157874,0.13972,0.113019,0.073644,0.0763771,127.25,,
0.374019,0.352953,0.283054,0.247088,0.208632,0.182994,0.15096,0.150069,0.0973192,0.312163,0.270325,0.223412,0.211591,0.171894,0.16535,0.153939,0.108325,0.0692495,0.0775925,136.9,,
0.380763,0.339775,0.28141,0.244954,0.197504,0.19651,0.155424,0.139043,0.0958151,0.322402,0.266898,0.232345,0.214762,0.164103,0.15669,0.146903,0.101178,0.0728423,0.0836635,146.55,,
0.379899,0.321629,0.269706,0.253511,0.194042,0.17503,0.150003,0.126715,0.0896254,0.315771,0.261619,0.220776,0.209102,0.167037,0.153015,0.132515,0.0980621,0.0722485,0.0774379,156.2,,
0.368656,0.295937,0.253136,0.235096,0.20616,0.170592,0.142462,0.109943,0.0840321,0.315136,0.261954,0.230489,0.197325,0.167949,0.151606,0.128655,0.0922846,0.0673901,0.0780105,165.85,,
0.32418,0.288455,0.230265,0.211936,0.194027,0.163534,0.129882,0.101524,0.0812882,0.32074,0.261319,0.21276,0.191368,0.157653,0.143752,0.110131,0.0823927,0.0643341,0.068824,175.5,,
0.298333,0.267764,0.213211,0.183522,0.178269,0.158979,0.109855,0.10149,0.0709133,0.298299,0.263437,0.210667,0.194801,0.142703,0.137081,0.113096,0.0780126,0.0607681,0.0670222,185.15,,
0.278771,0.25857,0.191062,0.168267,0.162595,0.146006,0.109177,0.0800166,0.0657962,0.27963,0.254581,0.215291,0.189569,0.139958,0.12035,0.109523,0.072306,0.0583883,0.0634517,194.8,,
0.269536,0.244086,0.17539,0.162552,0.147257,0.130136,0.106564,0.0768618,0.0655301,0.266893,0.22751,0.201874,0.164114,0.135313,0.112828,0.0913376,0.0660358,0.0556359,0.056936,204.45,,
0.267812,0.228637,0.159301,0.148608,0.139136,0.120974,0.0954998,0.0763822,0.0600234,0.265565,0.215533,0.181804,0.154225,0.133556,0.0989062,0.0880014,0.0589405,0.0537728,0.0564085,214.1,,
0.270057,0.217491,0.14722,0.146469,0.125318,0.111836,0.0856808,0.0611919,0.0541086,0.243126,0.197759,0.180708,0.141105,0.122051,0.0965249,0.0795783,0.0577737,0.0541721,0.0577408,223.75,,
0.242139,0.201701,0.140472,0.125729,0.106483,0.0898407,0.0825834,0.0690777,0.0485729,0.218251,0.186731,0.172596,0.126591,0.103829,0.0957219,0.0718626,0.0508634,0.0499214,0.0552227,233.4,,
0.215903,0.192916,0.134072,0.121886,0.0910112,0.0850768,0.0722441,0.0589181,0.0494805,0.213257,0.176937,0.154064,0.114342,0.0981917,0.0984607,0.0672119,0.048342,0.0412494,0.0554115,243.05,,
0.202833,0.1842,0.125873,0.12647,0.092411,0.0837186,0.0674656,0.0556376,0.049588,0.215374,0.152811,0.148958,0.107802,0.102062,0.0879057,0.0650822,0.0443414,0.0380662,0.0545711,252.7,,
0.195092,0.162217,0.114798,0.105014,0.0918606,0.0836931,0.0694389,0.0465698,0.044745,0.194415,0.144252,0.136002,0.105672,0.0925865,0.0801169,0.059961,0.0381057,0.042289,0.0521501,262.35,,
0.179956,0.159299,0.10405,0.0998863,0.0843247,0.0756408,0.0665311,0.0484249,0.0439626,0.186049,0.149573,0.120279,0.101756,0.0883039,0.0706762,0.0600868,0.0319321,0.0408394,0.047026,272,,
0.182549,0.158751,0.0933525,0.100001,0.0739827,0.074737,0.0642588,0.0405418,0.0444551,0.179352,0.1407,0.110497,0.0914325,0.0869061,0.0656102,0.0573564,0.0350513,0.0365161,0.0438123,281.65,,
0.187764,0.151998,0.0922542,0.0922937,0.0683733,0.0764621,0.063626,0.040719,0.0450593,0.161632,0.13485,0.110368,0.0891388,0.0834914,0.0673072,0.0623722,0.034205,0.0377088,0.0372224,291.3,,
0.176646,0.136357,0.0924372,0.085816,0.0622411,0.0737013,0.0594226,0.0422069,0.0460611,0.15739,0.135543,0.11243,0.0853207,0.0828465,0.0641025,0.049241,0.0337213,0.037868,0.0415715,300.95,,
0.171701,0.131773,0.0899153,0.0805516,0.0636242,0.063345,0.0559898,0.0355916,0.0442717,0.142452,0.123525,0.101153,0.0773837,0.0785965,0.0562192,0.0446153,0.0352256,0.0366066,0.0416834,310.6,,
0.172758,0.14173,0.0865329,0.0718973,0.0597393,0.0649469,0.0470632,0.0309758,0.039946,0.134688,0.114302,0.0971088,0.0815452,0.070342,0.0592984,0.0454518,0.0290704,0.0360133,0.0414875,320.25,,
